id,job_title,nice_areas,nice_subcategories,ksa,tasks
e4,IT Auditor,Oversee and Govern,Executive Cyber Leadership,,
m1,Cybersecurity Analyst,Analyze,Threat Analysis ,,
m1,Cybersecurity Analyst,Analyze,Exploitation Analysis,,
m1,Cybersecurity Analyst,Analyze,All-Source Analysis,,
m1,Cybersecurity Analyst,Analyze,Targets,,
m1,Cybersecurity Analyst,Analyze,Language Analysis,,
m1,Cybersecurity Analyst,Collect and Operate,Collection Operations,,
m1,Cybersecurity Analyst,Collect and Operate,Cyber Operational Planning,,
m1,Cybersecurity Analyst,Collect and Operate,Cyber Operations,,
m2,Cybersecurity Consultant,Analyze,Threat Analysis ,,
m2,Cybersecurity Consultant,Analyze,Exploitation Analysis,,
m2,Cybersecurity Consultant,Analyze,All-Source Analysis,,
m2,Cybersecurity Consultant,Analyze,Targets,,
m2,Cybersecurity Consultant,Analyze,Language Analysis,,
m2,Cybersecurity Consultant,Collect and Operate,Collection Operations,,
m2,Cybersecurity Consultant,Collect and Operate,Cyber Operational Planning,,
m2,Cybersecurity Consultant,Collect and Operate,Cyber Operations,,
m2,Cybersecurity Consultant,Oversee and Govern,Executive Cyber Leadership,,
m3,Penetration and Vulnerability Tester,Analyze,Threat Analysis ,,
m3,Penetration and Vulnerability Tester,Analyze,Exploitation Analysis,,
m3,Penetration and Vulnerability Tester,Analyze,All-Source Analysis,,
m3,Penetration and Vulnerability Tester,Analyze,Targets,,
m3,Penetration and Vulnerability Tester,Analyze,Language Analysis,,
h1,Cybersecurity Manager / Administrator,Oversee and Govern,Executive Cyber Leadership,,
h1,Cybersecurity Manager / Administrator,Collect and Operate,Collection Operations,,
h1,Cybersecurity Manager / Administrator,Collect and Operate,Cyber Operational Planning,,
h1,Cybersecurity Manager / Administrator,Collect and Operate,Cyber Operations,,
h1,Cybersecurity Manager / Administrator,Analyze,Threat Analysis ,,
h1,Cybersecurity Manager / Administrator,Analyze,Exploitation Analysis,,
h1,Cybersecurity Manager / Administrator,Analyze,All-Source Analysis,,
h1,Cybersecurity Manager / Administrator,Analyze,Targets,,
h1,Cybersecurity Manager / Administrator,Analyze,Language Analysis,,
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Knowledge of cyber defense and vulnerability assessment tools, including open source tools, and their capabilities.","Manage and approve Accreditation Packages (e.g., ISO/IEC 15026-2)."
