NECTA,fips,state,msa,population,total_postings,total_supply,supply_demand_ratio,supply_demand_qualifier,location_quotient,location_quotient_qualifier,top_job_1,top_job_2,top_job_3,top_job_4,top_job_5,top_job_6,top_job_7,top_job_8,top_job_9,top_job_10,analyze,securely_provision,operate_maintain,protect_defend,investigate,collect_operate,oversight_development,security+_holders,cissp_holders,cipp_holders,cisa_holders,cism_holders,security+_openings,cissp_openings,cipp_openings,cisa_openings,cism_openings
,2,AK,,,428,1047,2.4,Very Low,0.5,Very Low,Cyber Security Analyst / Specialist,Network Engineer / Architect,Systems Administrator,IT Specialist / Engineer,Network Administrator,Network Analyst / Specialist,Systems Analyst,Systems Engineer,Software Developer / Engineer,Cyber Security Engineer,121,133,316,79,13,59,92,834,191,<10,29,24,103,76,6,22,38
,1,AL,,,3162,9166,2.9,Very Low,0.7,Very Low,Cyber Security Analyst / Specialist,Network Engineer / Architect,Cyber Security Engineer,Systems Engineer,Systems Administrator,Software Developer / Engineer,Auditor,Systems Architect,Information Assurance Engineer / Analyst,Network Administrator,910,1710,2385,941,193,486,519,5871,970,17,226,106,1107,1058,12,267,176
,5,AR,,,972,4191,4.3,Average,0.3,Very Low,Cyber Security Analyst / Specialist,Auditor,Cyber Security Engineer,Network Engineer / Architect,Technical Consultant / Analyst,Systems Engineer,Systems Administrator,Software Developer / Engineer,Network Administrator,Systems Integration Engineer / Specialist,405,353,584,258,51,104,285,703,270,32,170,26,35,201,11,146,94
,4,AZ,,,8447,14339,1.7,Very Low,1.3,High,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Network Engineer / Architect,Systems Administrator,Systems Engineer,Risk Manager / Analyst,Software Developer / Engineer,Systems Analyst,IT Director,3318,4223,6024,3158,638,1460,2294,3924,1530,76,467,267,916,2227,35,1402,790
,6,CA,,,45062,84415,1.9,Very Low,1.1,Average,Cyber Security Engineer,Network Engineer / Architect,Auditor,Software Developer / Engineer,Systems Engineer,Systems Administrator,IT Director,Systems Analyst,Computer Support Specialist,Network Administrator,15050,24351,28724,13919,2959,5707,13755,16757,6463,1045,3188,1047,2655,11020,366,5963,3750
,8,CO,,,11153,17182,1.5,Very Low,1.8,Very High,Cyber Security Analyst / Specialist,Cyber Security Engineer,Network Engineer / Architect,Software Developer / Engineer,Systems Engineer,Auditor,Systems Administrator,Information Assurance Engineer / Analyst,Senior Software Developer / Engineer,Help Desk Technician / Analyst,3143,6356,7773,3402,703,1540,2490,7095,2524,86,591,259,2352,3309,32,1385,811
,9,CT,,,4153,6565,1.6,Very Low,1,Average,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Network Engineer / Architect,Software Developer / Engineer,Systems Engineer,IT Director,IT Project Manager,Technical Consultant / Analyst,Risk Manager / Analyst,1648,2031,2815,1418,295,538,1617,988,616,76,424,156,63,1004,29,834,451
,11,DC,,,11589,15324,1.3,Very Low,6.8,Very High,Cyber Security Analyst / Specialist,Cyber Security Engineer,Network Engineer / Architect,Software Developer / Engineer,Systems Engineer,Systems Administrator,Information Assurance Engineer / Analyst,Auditor,Systems Analyst,IT Specialist / Engineer,4004,5607,8140,4173,1082,1901,2921,994,477,225,219,77,1183,3459,55,1196,1009
,10,DE,,,1225,2693,2.2,Very Low,1.1,Average,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Risk Manager / Analyst,Network Engineer / Architect,Application Support Analyst,Systems Administrator,Systems Engineer,Software Developer / Engineer,IT Project Manager,558,607,777,509,67,193,399,485,218,12,97,42,17,317,15,229,119
,12,FL,,,15520,41397,2.7,Very Low,0.8,Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Network Engineer / Architect,Systems Administrator,Software Developer / Engineer,Systems Engineer,Computer Support Specialist,Network Administrator,Information Assurance Engineer / Analyst,5210,7610,10196,4680,847,2105,3948,13217,3596,177,1536,629,1349,3677,65,2180,1264
,13,GA,,,12783,28368,2.2,Very Low,1.2,High,Cyber Security Analyst / Specialist,Cyber Security Engineer,Systems Engineer,Systems Administrator,Risk Manager / Analyst,IT Project Manager,Computer Support Specialist,IT Manager,IT Director,Network Administrator,4778,6839,8450,4483,996,2164,3665,7689,2482,218,1078,399,756,3734,75,2275,1531
,15,HI,,,1380,6406,4.6,Average,0.9,Average,Cyber Security Analyst / Specialist,Systems Administrator,Network Engineer / Architect,IT Specialist / Engineer,Information Assurance Engineer / Analyst,Cyber Security Engineer,Systems Engineer,Computer Support Specialist,Help Desk Technician / Analyst,Network Analyst / Specialist,415,399,957,357,130,140,168,4774,651,11,68,56,444,242,0,107,36
,19,IA,,,2796,4244,1.5,Very Low,0.7,Low,Cyber Security Analyst / Specialist,Auditor,Cyber Security Engineer,Network Engineer / Architect,C# Developer / Engineer,Risk Manager / Analyst,Software Developer / Engineer,Systems Administrator,Systems Engineer,Help Desk Technician / Analyst,1122,1433,1761,743,82,415,582,885,314,12,165,34,37,451,11,435,155
,16,ID,,,583,1651,2.8,Very Low,0.4,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Network Engineer / Architect,Network Analyst / Specialist,Systems Engineer,Network Administrator,Systems Administrator,Electrical Engineer,Technical Consultant / Analyst,Auditor,261,212,431,208,15,128,132,1436,192,<10,55,25,50,118,0,80,53
,17,IL,,,15381,29671,1.9,Very Low,1,Average,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Network Engineer / Architect,Systems Administrator,Systems Engineer,Software Developer / Engineer,Risk Manager / Analyst,Technical Consultant / Analyst,Computer Support Specialist,6210,8015,10478,5640,1219,2643,4803,4513,2237,304,1380,449,940,4212,106,2857,1464
,18,IN,,,3583,8423,2.4,Very Low,0.5,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Network Engineer / Architect,Systems Administrator,Systems Engineer,Software Developer / Engineer,Systems Analyst,Network Administrator,IT Specialist / Engineer,1429,1664,2587,1179,223,684,913,2646,646,70,304,94,214,879,22,514,322
,20,KS,,,1709,5288,3.1,Very Low,0.5,Very Low,Cyber Security Analyst / Specialist,Auditor,Cyber Security Engineer,Network Engineer / Architect,Systems Engineer,Systems Administrator,Software Developer / Engineer,Computer Support Specialist,Database Administrator,IT Specialist / Engineer,503,781,1122,416,67,229,405,1952,468,17,193,69,258,326,13,207,97
,21,KY,,,2115,5262,2.5,Very Low,0.5,Very Low,Cyber Security Analyst / Specialist,Auditor,Network Engineer / Architect,Help Desk Technician / Analyst,Cyber Security Engineer,Systems Administrator,Systems Engineer,Network Administrator,Java Developer / Engineer,Application Developer / Engineer,706,902,1462,620,57,406,461,2261,363,22,185,76,654,383,10,251,123
,22,LA,,,1888,5259,2.8,Very Low,0.4,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Network Engineer / Architect,Systems Administrator,Help Desk Technician / Analyst,Software Developer / Engineer,Computer Support Specialist,Network Administrator,Computer Programmer,453,710,1220,434,97,198,439,1848,309,11,170,55,226,386,14,235,104
,25,MA,,,9420,17846,1.9,Very Low,1.1,Average,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Network Engineer / Architect,Systems Engineer,Software Developer / Engineer,Systems Administrator,IT Director,Risk Manager / Analyst,Information Assurance Engineer / Analyst,3387,5254,6185,2963,657,1386,3077,1940,1602,188,863,286,403,2507,81,1579,955
,24,MD,,,16671,37690,2.3,Very Low,2.6,Very High,Cyber Security Analyst / Specialist,Cyber Security Engineer,Software Developer / Engineer,Network Engineer / Architect,Unix Administrator / Engineer,Systems Analyst,Help Desk Technician / Analyst,Computer Support Specialist,IT Specialist / Engineer,Network Administrator,4994,8646,11591,5442,1608,2570,3128,17957,6309,148,980,662,2302,4410,46,1226,1024
,23,ME,,,644,2700,4.2,Average,0.4,Very Low,Cyber Security Analyst / Specialist,Network Engineer / Architect,Auditor,Cyber Security Engineer,IT Director,Software Developer / Engineer,Systems Support Specialist,Systems Administrator,Risk Manager / Analyst,Network Administrator,205,279,361,178,24,99,169,477,145,33,74,36,28,77,2,58,28
,26,MI,,,6789,13520,2,Very Low,0.6,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Network Engineer / Architect,Software Developer / Engineer,Systems Administrator,Systems Engineer,Network Administrator,IT Manager,IT Specialist / Engineer,2477,3290,4521,2188,611,977,2079,2139,1121,74,720,191,250,1833,46,1174,697
,27,MN,,,7278,14266,2,Very Low,1,Average,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Network Engineer / Architect,Risk Manager / Analyst,Systems Engineer,Software Developer / Engineer,Systems Administrator,IT Director,IT Project Manager,3173,3756,4696,2790,515,1388,2567,1025,1190,190,652,237,114,2191,73,1423,913
,29,MO,,,4378,14869,3.4,Low,0.6,Very Low,Cyber Security Analyst / Specialist,Auditor,Cyber Security Engineer,Network Engineer / Architect,Systems Engineer,Systems Administrator,Software Developer / Engineer,Risk Manager / Analyst,Computer Support Specialist,Systems Analyst,1595,2265,2997,1458,250,642,1035,2704,828,50,438,112,370,1123,32,796,424
