NECTA,fips,state,msa,population,total_postings,total_supply,supply_demand_ratio,supply_demand_qualifier,location_quotient,location_quotient_qualifier,top_job_1,top_job_2,top_job_3,top_job_4,top_job_5,top_job_6,top_job_7,top_job_8,top_job_9,top_job_10,analyze,securely_provision,operate_maintain,protect_defend,investigate,collect_operate,oversight_development,security+_holders,cissp_holders,cipp_holders,cisa_holders,cism_holders,giac_holders,security+_openings,cissp_openings,cipp_openings,cisa_openings,cism_openings,giac_openings
,2,AK,,741894,405,884,2.18,Very Low,0.59,Very Low,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,Systems Administrator,Network Analyst / Specialist,Network Engineer / Architect,Security Officer,Senior Software Developer / Engineer,Incident Analyst / Responder,Software Developer / Engineer,145,199,292,162,1,91,127,716,191,<10,29,24,84,94,85,0,42,35,55
,1,AL,,4863300,3644,8314,2.28,Very Low,0.89,Average,Cyber Security Engineer,Systems Engineer,Cyber Security Analyst,Network Engineer / Architect,Software Developer / Engineer,Information Assurance Engineer / Analyst,Systems Administrator,Cyber Security Manager / Administrator,Network Administrator,Senior Software Developer / Engineer,1053,2270,2757,1411,14,520,621,5063,970,17,226,106,333,1340,1030,6,237,228,421
,5,AR,,2988248,868,3129,3.6,Very Low,0.34,Very Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Internal Auditor,Systems Administrator,Senior Software Developer / Engineer,Systems Engineer,Systems Analyst,Vulnerability Analyst / Penetration Tester,323,478,540,376,7,113,335,570,270,32,170,26,384,33,176,2,108,71,51
,4,AZ,,6931071,7174,14607,2.04,Very Low,1.27,High,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Systems Engineer,IT Auditor,Systems Administrator,Software Developer / Engineer,Internal Auditor,Vulnerability Analyst / Penetration Tester,Cyber Security Manager / Administrator,2798,4686,4857,2946,27,1100,2041,3372,1530,76,467,267,816,890,2032,31,1414,603,1067
,6,CA,,39250017,32649,83413,2.55,Very Low,0.96,Average,Cyber Security Engineer,Network Engineer / Architect,Cyber Security Analyst,Software Developer / Engineer,Cyber Security Manager / Administrator,Systems Engineer,Systems Administrator,Vulnerability Analyst / Penetration Tester,Cyber Security Architect,IT Auditor,11907,19788,19702,11715,170,4646,10275,13619,6463,1045,3188,1047,3412,2476,7232,312,4243,2541,2548
,8,CO,,5540545,9542,18308,1.92,Very Low,1.78,Very High,Cyber Security Engineer,Network Engineer / Architect,Systems Engineer,Software Developer / Engineer,Systems Administrator,Cyber Security Analyst,Cyber Security Manager / Administrator,Information Assurance Engineer / Analyst,Vulnerability Analyst / Penetration Tester,IT Auditor,2959,6150,6612,3368,44,1372,2207,6210,2524,86,591,259,1220,2184,2923,36,1253,701,1403
,9,CT,,3576452,3440,6671,1.94,Very Low,0.97,Average,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,IT Auditor,Network Engineer / Architect,Internal Auditor,Cyber Security Consultant,Internal Audit Manager,Cyber Security Architect,Vulnerability Analyst / Penetration Tester,1591,2223,2247,1537,15,671,1303,818,616,76,424,156,309,87,899,21,747,328,326
,11,DC,,681170,9385,16767,1.79,Very Low,6.27,Very High,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Systems Engineer,Software Developer / Engineer,Information Assurance Engineer / Analyst,Vulnerability Analyst / Penetration Tester,Systems Administrator,Incident Analyst / Responder,3820,5354,6197,3940,133,1575,2444,813,477,225,219,77,623,1296,2982,52,989,962,1344
,10,DE,,952065,1195,2700,2.26,Very Low,1.27,High,Cyber Security Engineer,Cyber Security Analyst,Vulnerability Analyst / Penetration Tester,Risk Analyst,Cyber Security Manager / Administrator,IT Auditor,Network Engineer / Architect,Cyber Security Consultant,Internal Auditor,IT Project Manager,663,735,734,593,7,211,389,418,218,12,97,42,100,12,305,12,252,115,54
,12,FL,,20612439,13212,37184,2.81,Very Low,0.75,Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Systems Administrator,Software Developer / Engineer,Systems Engineer,IT Auditor,Network Administrator,Information Assurance Engineer / Analyst,4587,7497,8624,4666,92,1972,3424,11184,3596,177,1536,629,1830,1958,3073,37,1574,968,1231
