NECTA,fips,state,msa,population,total_postings,total_supply,supply_demand_ratio,supply_demand_qualifier,location_quotient,location_quotient_qualifier,top_job_1,top_job_2,top_job_3,top_job_4,top_job_5,top_job_6,top_job_7,top_job_8,top_job_9,top_job_10,analyze,securely_provision,operate_maintain,protect_defend,investigate,collect_operate,oversight_development,security+_holders,cissp_holders,cipp_holders,cisa_holders,cism_holders,giac_holders,security+_openings,cissp_openings,cipp_openings,cisa_openings,cism_openings,giac_openings
,2,AK,,741894,439,884,2,Very Low,0.7,Very Low,Cyber Security Engineer,Systems Administrator,Cyber Security Specialist / Technician,Network Engineer / Architect,Cyber Security Analyst,Network Analyst / Specialist,Cyber Security Manager / Administrator,IT Specialist / Engineer,Systems Engineer,Vulnerability Analyst / Penetration Tester,162,197,314,177,5,67,132,716,122,<10,32,27,93,77,71,0,43,32,56
,1,AL,,4863300,4133,8314,2,Very Low,1.1,Average,Cyber Security Engineer,Systems Engineer,Cyber Security Analyst,Network Engineer / Architect,Systems Administrator,Software Developer / Engineer,Information Assurance Engineer / Analyst,Cyber Security Manager / Administrator,Senior Software Developer / Engineer,Network Administrator,1278,2492,2989,1483,22,554,682,5063,1078,23,237,119,408,1557,1075,11,307,251,561
,5,AR,,2988248,729,3129,4.3,Low,0.3,Very Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Systems Engineer,IT Director,Vulnerability Analyst / Penetration Tester,Incident Analyst / Responder,Systems Administrator,Systems Analyst,278,394,485,320,12,120,288,570,310,38,178,27,414,42,138,0,84,39,52
,4,AZ,,6931071,6875,14607,2.1,Very Low,1.3,High,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Systems Engineer,Vulnerability Analyst / Penetration Tester,Cyber Security Manager / Administrator,Systems Administrator,IT Auditor,Software Developer / Engineer,Cyber Security Consultant,2721,4437,4510,2832,51,1090,2042,3372,1655,86,506,326,1005,790,2071,21,1355,605,998
,6,CA,,39250017,31731,83413,2.6,Very Low,1,Average,Cyber Security Engineer,Network Engineer / Architect,Cyber Security Analyst,Software Developer / Engineer,Systems Engineer,Cyber Security Manager / Administrator,Vulnerability Analyst / Penetration Tester,Systems Administrator,Cyber Security Consultant,Cyber Security Architect,11760,19170,18644,11482,200,4533,10065,13619,7106,1383,3414,1229,3944,2350,6978,342,3809,2307,2511
,8,CO,,5540545,9487,18308,1.9,Very Low,1.9,Very High,Cyber Security Engineer,Network Engineer / Architect,Systems Engineer,Software Developer / Engineer,Cyber Security Analyst,Systems Administrator,Cyber Security Manager / Administrator,Information Assurance Engineer / Analyst,IT Auditor,Vulnerability Analyst / Penetration Tester,3058,6135,6381,3429,60,1337,2292,6210,2747,146,673,289,1360,2102,2931,46,1187,737,1394
,9,CT,,3576452,2452,6671,2.7,Very Low,0.7,Low,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,Network Engineer / Architect,IT Auditor,Vulnerability Analyst / Penetration Tester,Cyber Security Consultant,Systems Engineer,Cyber Security Architect,Software Developer / Engineer,1066,1582,1619,1079,16,424,822,818,683,93,434,174,362,98,639,31,485,254,205
,11,DC,,681170,8922,16767,1.9,Very Low,6.2,Very High,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Systems Engineer,Cyber Security Manager / Administrator,Software Developer / Engineer,Information Assurance Engineer / Analyst,Systems Administrator,Cyber Security Specialist / Technician,Vulnerability Analyst / Penetration Tester,3523,5303,5886,3719,97,1511,2327,813,932,309,242,88,649,1316,2752,57,917,909,1195
,10,DE,,952065,1430,2700,1.9,Very Low,1.6,Very High,Cyber Security Engineer,Cyber Security Analyst,IT Auditor,Vulnerability Analyst / Penetration Tester,Cyber Security Manager / Administrator,Cyber Security Consultant,Network Engineer / Architect,Cyber Security Architect,Software Developer / Engineer,IT Project Manager,765,842,836,651,9,250,478,418,237,16,106,47,118,13,350,3,304,154,65
,12,FL,,20612439,12641,37184,2.9,Very Low,0.8,Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Systems Administrator,Systems Engineer,IT Auditor,Software Developer / Engineer,Network Administrator,Vulnerability Analyst / Penetration Tester,4759,7165,8334,4750,135,1960,3169,11184,4061,232,1693,778,2109,1989,3033,60,1645,1047,1319
