NECTA,fips,state,msa,population,total_postings,total_supply,supply_demand_ratio,supply_demand_qualifier,location_quotient,location_quotient_qualifier,top_job_1,top_job_2,top_job_3,top_job_4,top_job_5,top_job_6,top_job_7,top_job_8,top_job_9,top_job_10,analyze,securely_provision,operate_maintain,protect_defend,investigate,collect_operate,oversight_development,security+_holders,cissp_holders,cipp_holders,cisa_holders,cism_holders,giac_holders,security+_openings,cissp_openings,cipp_openings,cisa_openings,cism_openings,giac_openings
,2,AK,,741894,387,779,2.01,Very Low,0.61,Very Low,Cyber Security Engineer,Network Engineer / Architect,Cyber Security Analyst,Systems Administrator,Vulnerability Analyst / Penetration Tester,Cyber Security Specialist / Technician,Network Analyst / Specialist,Cyber Security Manager / Administrator,Senior Software Developer / Engineer,Incident Analyst / Responder,143,174,277,156,4,59,116,,,,,,,74,68,0,41,31,54
,1,AL,,4863300,3817,7678,2.01,Very Low,1.02,Average,Cyber Security Engineer,Systems Engineer,Cyber Security Analyst,Systems Administrator,Network Engineer / Architect,Information Assurance Engineer / Analyst,Software Developer / Engineer,Cyber Security Manager / Administrator,Senior Software Developer / Engineer,Cyber Security Specialist / Technician,1180,2301,2760,1369,20,512,630,,,,,,,1491,1029,11,294,240,537
,5,AR,,2988248,704,3022,4.29,Low,0.3,Very Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,IT Director,Systems Engineer,Cyber Security Manager / Administrator,Vulnerability Analyst / Penetration Tester,Incident Analyst / Responder,Systems Administrator,Senior Software Developer / Engineer,268,381,468,309,12,116,278,,,,,,,40,132,0,80,37,50
,4,AZ,,6931071,6584,13990,2.12,Very Low,1.27,High,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Systems Engineer,Vulnerability Analyst / Penetration Tester,Cyber Security Manager / Administrator,Systems Administrator,IT Auditor,Software Developer / Engineer,Cyber Security Consultant,2606,4249,4319,2712,49,1044,1956,,,,,,,757,1983,20,1298,579,956
,6,CA,,39250017,30766,80877,2.63,Very Low,0.99,Average,Cyber Security Engineer,Network Engineer / Architect,Cyber Security Analyst,Systems Engineer,Cyber Security Manager / Administrator,Software Developer / Engineer,Cyber Security Consultant,Systems Administrator,Vulnerability Analyst / Penetration Tester,Cyber Security Specialist / Technician,11402,18587,18077,11133,194,4395,9759,,,,,,,2250,6682,328,3648,2209,2405
,8,CO,,5540545,9048,17461,1.93,Very Low,1.85,Very High,Cyber Security Engineer,Network Engineer / Architect,Systems Engineer,Software Developer / Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,Systems Administrator,Information Assurance Engineer / Analyst,IT Auditor,Incident Analyst / Responder,2916,5851,6086,3270,57,1275,2186,,,,,,,2013,2807,44,1137,706,1335
,9,CT,,3576452,2408,6552,2.72,Very Low,0.74,Low,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,Network Engineer / Architect,IT Auditor,Cyber Security Consultant,Vulnerability Analyst / Penetration Tester,Incident Analyst / Responder,Software Developer / Engineer,Cyber Security Architect,1047,1554,1590,1060,16,416,807,,,,,,,94,612,30,464,243,196
,11,DC,,681170,8164,15343,1.88,Very Low,5.97,Very High,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Systems Engineer,Cyber Security Manager / Administrator,Information Assurance Engineer / Analyst,Software Developer / Engineer,Systems Administrator,Incident Analyst / Responder,Cyber Security Specialist / Technician,3224,4853,5386,3403,89,1383,2129,,,,,,,1260,2635,55,878,870,1144
,10,DE,,952065,1413,2669,1.89,Very Low,1.65,Very High,Cyber Security Engineer,Cyber Security Analyst,IT Auditor,Cyber Security Manager / Administrator,Vulnerability Analyst / Penetration Tester,Cyber Security Consultant,Network Engineer / Architect,Systems Engineer,Software Developer / Engineer,Cyber Security Architect,756,832,826,643,9,247,472,,,,,,,12,335,3,291,147,62
,12,FL,,20612439,12028,35380,2.94,Very Low,0.75,Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Systems Administrator,Systems Engineer,IT Auditor,Software Developer / Engineer,Vulnerability Analyst / Penetration Tester,Network Administrator,4528,6817,7930,4520,128,1865,3015,,,,,,,1905,2905,57,1575,1003,1263
,13,GA,,10310371,10203,25626,2.51,Very Low,1.24,High,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Vulnerability Analyst / Penetration Tester,IT Auditor,Software Developer / Engineer,Systems Engineer,Cyber Security Consultant,Cyber Security Architect,4201,6287,6365,4190,50,1562,2968,,,,,,,667,2710,45,1629,1083,1041
,15,HI,,1428557,1345,3968,2.95,Very Low,1.09,Average,Systems Administrator,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Engineer,Network Administrator,Incident Analyst / Responder,IT Specialist / Engineer,Help Desk Technician / Analyst,Information Assurance Engineer / Analyst,Technical Support Engineer / Analyst,421,477,1008,436,12,164,243,,,,,,,453,267,0,116,54,195
,19,IA,,3134693,2122,4612,2.17,Very Low,0.71,Low,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,IT Auditor,Network Engineer / Architect,Software Developer / Engineer,Cyber Security Specialist / Technician,Vulnerability Analyst / Penetration Tester,IT Director,IT Manager,946,1352,1279,841,5,328,636,,,,,,,26,466,11,369,143,147
,16,ID,,1683140,441,1335,3.03,Very Low,0.34,Very Low,Cyber Security Analyst,Cyber Security Engineer,Network Engineer / Architect,IT Manager,Cyber Security Architect,Systems Engineer,Cyber Security Manager / Administrator,Cyber Security Specialist / Technician,IT Director,Senior Software Developer / Engineer,172,260,311,165,4,90,129,,,,,,,34,103,2,45,29,34
,17,IL,,12801539,12051,31267,2.59,Very Low,1.05,Average,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,IT Auditor,Systems Engineer,Vulnerability Analyst / Penetration Tester,Cyber Security Architect,Systems Administrator,Software Developer / Engineer,5228,7289,7484,4793,116,1918,3861,,,,,,,743,3243,125,1966,1134,1253
,18,IN,,6633053,2350,8157,3.47,Very Low,0.4,Very Low,Cyber Security Engineer,Cyber Security Analyst,Vulnerability Analyst / Penetration Tester,Network Engineer / Architect,Cyber Security Manager / Administrator,IT Director,Incident Analyst / Responder,IT Auditor,Cyber Security Consultant,Systems Administrator,1117,1360,1578,1070,21,503,637,,,,,,,102,613,11,358,213,242
,20,KS,,2907289,1497,4811,3.21,Very Low,0.56,Very Low,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,Network Engineer / Architect,Systems Administrator,Software Developer / Engineer,Systems Engineer,Systems Analyst,Technical Support Engineer / Analyst,Vulnerability Analyst / Penetration Tester,469,890,974,611,7,266,380,,,,,,,250,262,2,131,94,129
,21,KY,,4436974,1550,4811,3.1,Very Low,0.43,Very Low,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,Systems Administrator,Network Engineer / Architect,Help Desk Technician / Analyst,Systems Engineer,Software Developer / Engineer,Vulnerability Analyst / Penetration Tester,Cyber Security Consultant,518,783,1040,479,7,221,391,,,,,,,518,259,0,106,43,92
,22,LA,,4681666,1275,4639,3.64,Very Low,0.34,Very Low,Cyber Security Engineer,Cyber Security Manager / Administrator,Cyber Security Analyst,Software Developer / Engineer,Network Engineer / Architect,Cyber Security Specialist / Technician,Systems Administrator,Technical Support Engineer / Analyst,Systems Engineer,IT Director,395,679,806,500,3,209,392,,,,,,,131,242,1,165,64,106
,25,MA,,6811779,8321,19782,2.38,Very Low,1.23,High,Cyber Security Engineer,Network Engineer / Architect,Cyber Security Analyst,Cyber Security Manager / Administrator,IT Auditor,Systems Engineer,Software Developer / Engineer,Cyber Security Architect,Vulnerability Analyst / Penetration Tester,Cyber Security Consultant,3141,5301,5364,3288,28,1260,2750,,,,,,,444,2053,71,1276,841,637
,24,MD,,6016447,13119,30687,2.34,Very Low,2.55,Very High,Cyber Security Engineer,Network Engineer / Architect,Software Developer / Engineer,Cyber Security Analyst,Systems Engineer,Systems Administrator,Cyber Security Manager / Administrator,Information Assurance Engineer / Analyst,Cyber Security Specialist / Technician,Senior Software Developer / Engineer,4409,7877,8917,5012,175,2114,2585,,,,,,,2788,3860,24,908,796,1694
,23,ME,,1331479,823,2451,2.98,Very Low,0.71,Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,IT Auditor,Vulnerability Analyst / Penetration Tester,Software Developer / Engineer,Systems Administrator,Computer Support Specialist,IT Director,Systems Engineer,257,252,399,152,4,57,256,,,,,,,21,49,0,33,17,17
,26,MI,,9928300,7004,13996,2,Very Low,0.85,Average,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,IT Auditor,Cyber Security Consultant,Cyber Security Manager / Administrator,Vulnerability Analyst / Penetration Tester,Systems Administrator,Cyber Security Architect,Systems Engineer,2889,4184,4605,2788,34,1172,2166,,,,,,,367,1660,31,1162,509,554
,27,MN,,5519952,5291,15066,2.85,Very Low,0.97,Average,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Consultant,Cyber Security Manager / Administrator,Software Developer / Engineer,IT Auditor,Vulnerability Analyst / Penetration Tester,Cyber Security Architect,Incident Analyst / Responder,2303,3464,3131,2324,61,886,1729,,,,,,,109,1234,57,850,468,433
,29,MO,,6093000,4211,13230,3.14,Very Low,0.78,Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,IT Auditor,Systems Engineer,Cyber Security Manager / Administrator,Cyber Security Specialist / Technician,Systems Administrator,Vulnerability Analyst / Penetration Tester,Incident Analyst / Responder,1603,2606,2794,1804,45,665,1140,,,,,,,302,989,11,688,348,323
,28,MS,,2988726,704,2224,3.16,Very Low,0.32,Very Low,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,Systems Administrator,Network Engineer / Architect,Information Assurance Engineer / Analyst,Cyber Security Specialist / Technician,Software Developer / Engineer,Incident Analyst / Responder,Network Administrator,202,388,536,297,2,104,201,,,,,,,141,207,0,94,63,116
,30,MT,,1042520,163,689,4.23,Low,0.18,Very Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Consultant,IT Director,Vulnerability Analyst / Penetration Tester,Cyber Security Specialist / Technician,Systems Support Specialist,Information Assurance Engineer / Analyst,Systems Administrator,67,82,108,62,5,20,59,,,,,,,6,15,0,14,6,17
,0,National,,323127513,273581,715224,2.6,Very Low,1,Average,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Systems Engineer,Software Developer / Engineer,Systems Administrator,IT Auditor,Vulnerability Analyst / Penetration Tester,Cyber Security Specialist / Technician,105411,165416,175710,107785,2272,43218,77510,,,,,,,30779,69621,1574,35905,22918,27856
,37,NC,,10146788,9407,24828,2.64,Very Low,1.14,Average,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Vulnerability Analyst / Penetration Tester,Software Developer / Engineer,Systems Engineer,IT Auditor,Cyber Security Architect,Incident Analyst / Responder,4031,5804,6066,4083,122,1431,2798,,,,,,,745,2158,44,1318,776,865
,38,ND,,757952,285,755,2.65,Very Low,0.34,Very Low,Cyber Security Engineer,Network Engineer / Architect,Cyber Security Manager / Administrator,Software Developer / Engineer,Technical Support Engineer / Analyst,Cyber Security Analyst,Systems Administrator,Systems Analyst,Incident Analyst / Responder,Systems Support Specialist,97,137,183,103,2,43,88,,,,,,,30,46,2,17,9,14
,31,NE,,1907116,1535,4317,2.81,Very Low,0.81,Low,Cyber Security Engineer,Cyber Security Analyst,Systems Engineer,Information Assurance Engineer / Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Senior Software Developer / Engineer,Vulnerability Analyst / Penetration Tester,Systems Administrator,IT Auditor,606,979,1060,663,5,222,373,,,,,,,172,367,7,190,171,154
